student_id,student_no,item_id,paper,paper_item_no,source_true,item_type,score,correct,response_missing,form,order_group,block_position,training_year,training_setting_code,training_setting,total_time_seconds
S042,42,M006,M,6,MAS,A1,2.0,1,0,B,B,1,2,A,main,1331.0
S042,42,M007,M,7,MAS,A1,0.0,0,0,B,B,1,2,A,main,1331.0
S042,42,M017,M,17,MAS,A1,2.0,1,0,B,B,1,2,A,main,1331.0
S042,42,M023,M,23,MAS,A1,2.0,1,0,B,B,1,2,A,main,1331.0
S042,42,M024,M,24,MAS,A1,0.0,0,0,B,B,1,2,A,main,1331.0
S043,43,M001,M,1,MAS,A1,0.0,0,0,B,B,1,3,A,main,1168.0
S043,43,M002,M,2,MAS,A1,2.0,1,0,B,B,1,3,A,main,1168.0
S043,43,M006,M,6,MAS,A1,2.0,1,0,B,B,1,3,A,main,1168.0
S043,43,M007,M,7,MAS,A1,2.0,1,0,B,B,1,3,A,main,1168.0
S043,43,M017,M,17,MAS,A1,2.0,1,0,B,B,1,3,A,main,1168.0
S043,43,M023,M,23,MAS,A1,0.0,0,1,B,B,1,3,A,main,1168.0
S043,43,M024,M,24,MAS,A1,2.0,1,0,B,B,1,3,A,main,1168.0
S044,44,M001,M,1,MAS,A1,2.0,1,0,B,B,1,1,A,main,2023.0
