endpoint,bootstrap_replicate,icc_c_k
QGEval,645,0.4515864246250972
QGEval,646,0.7163928304705002
QGEval,647,0.729505873460775
QGEval,648,0.735464228355223
QGEval,649,0.565336041901218
QGEval,650,0.6293710138552879
QGEval,651,0.7115991224527655
QGEval,652,0.7307531501398459
QGEval,653,0.755478522253466
QGEval,654,0.4536738640025779
QGEval,655,0.6941060188316072
QGEval,656,0.15815668202764538
QGEval,657,0.7317899365143454
QGEval,658,0.673235131531882
QGEval,659,0.5280206207711294
QGEval,660,0.4275946838749324
QGEval,661,0.637902649644332
QGEval,662,0.32709775086505033
QGEval,663,0.5060513121889402
QGEval,664,0.7573048482096255
QGEval,665,0.5189021535580519
QGEval,666,0.40888715649970636
QGEval,667,0.46960872162485057
QGEval,668,0.4403684594397466
QGEval,669,0.39098910935401915
QGEval,670,0.7609580472230546
QGEval,671,0.5946231837777417
QGEval,672,0.7145666369842677
QGEval,673,0.5113574905354239
QGEval,674,0.7691918857104969
QGEval,675,0.6665234207133641
QGEval,676,0.49081624075319386
QGEval,677,0.745700658641834
QGEval,678,0.5206768824842697
QGEval,679,0.590989817665166
QGEval,680,0.6964653397391901
QGEval,681,0.667226932298489
QGEval,682,0.7540368027602067
QGEval,683,0.649966461998864
QGEval,684,0.6608449477351905
QGEval,685,0.7495350690754515
QGEval,686,0.8135242247671853
QGEval,687,0.3854385567876875
QGEval,688,0.04557650092337474
QGEval,689,0.6256298671552905
QGEval,690,0.7413029583637686
QGEval,691,0.621281842400757
QGEval,692,0.696939036458043
QGEval,693,0.7357888949972506
QGEval,694,0.7540065440219016
QGEval,695,0.7425596066794476
QGEval,696,0.5664058883436714
QGEval,697,0.6755067567567559
QGEval,698,0.7161087134025422
QGEval,699,0.7793179422021566
QGEval,700,0.5314194635790698
QGEval,701,0.7630380035697107
QGEval,702,0.649005255061481
QGEval,703,0.722262156858935
QGEval,704,0.752503032347431
QGEval,705,0.4962957124842363
QGEval,706,0.3979893696337077
QGEval,707,0.08278224463580111
QGEval,708,0.7046103969540464
QGEval,709,0.6942742140189287
QGEval,710,0.6766687078995709
QGEval,711,0.34853291038857925
QGEval,712,0.7202970297029698
QGEval,713,0.5271302982130193
QGEval,714,0.5508128478847019
QGEval,715,0.7396814587825822
QGEval,716,0.660459914878832
QGEval,717,0.5191298917568682
QGEval,718,0.6978883410930274
QGEval,719,0.7848837209302321
QGEval,720,0.6346092291277666
QGEval,721,0.6801090169992604
QGEval,722,0.7745884966324201
QGEval,723,0.7069447877020408
QGEval,724,0.5791329204383037
QGEval,725,0.6364741417415644
QGEval,726,0.5810687276655861
QGEval,727,0.6263259696630352
QGEval,728,0.7213008631319351
QGEval,729,0.6857942392125954
QGEval,730,0.665659947535551
QGEval,731,0.6683067988182976
QGEval,732,0.652683355506462
QGEval,733,0.42443805541034957
QGEval,734,0.6027275751191924
QGEval,735,0.2526257396449668
QGEval,736,0.72959808846955
QGEval,737,0.548873454175842
QGEval,738,0.7236207052577597
QGEval,739,0.7199760682973972
QGEval,740,0.7052705782378611
QGEval,741,0.7475237005557367
QGEval,742,0.5274004373467629
QGEval,743,0.7500958221540817
QGEval,744,0.6360064297195922
QGEval,745,0.7303923222237216
QGEval,746,0.7160427847739191
QGEval,747,0.6894258982997257
QGEval,748,0.7931632830123199
QGEval,749,0.13426626323751445
QGEval,750,0.6716640293835684
QGEval,751,0.7985271936059917
QGEval,752,0.6116626885379104
QGEval,753,0.6845267955299867
QGEval,754,0.7754905204367156
